detailLink,name,peopleNumber,positionInfo,publishTime,workLocation
http://hr.tencent.com/position_detail.php?id=32411&keywords=&tid=0&lid=0,22851-腾讯视频王者荣耀频道赛事总导演（北京）,1,产品/项目类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=32403&keywords=&tid=0&lid=0,15665-关卡/玩法策划（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=32404&keywords=&tid=0&lid=0,17757-腾讯网用户研究专员（北京）,1,设计类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=32054&keywords=&tid=0&lid=0,22989-腾讯云行业产品经理 （行业应用及运营）（成都）,1,产品/项目类,2017-08-30,成都
http://hr.tencent.com/position_detail.php?id=32055&keywords=&tid=0&lid=0,22989-腾讯云行业方案架构师（成都）,1,技术类,2017-08-30,成都
http://hr.tencent.com/position_detail.php?id=32238&keywords=&tid=0&lid=0,18797-游戏运营（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=32051&keywords=&tid=0&lid=0,22989-企业业务项目经理（成都）,1,产品/项目类,2017-08-30,成都
http://hr.tencent.com/position_detail.php?id=31841&keywords=&tid=0&lid=0,22989-数据库方向后台开发高级工程师（成都）,2,技术类,2017-08-30,成都
http://hr.tencent.com/position_detail.php?id=31452&keywords=&tid=0&lid=0,SNG07-质量管理工程师（深圳）,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31307&keywords=&tid=0&lid=0,19116-互联网+UI工程师（深圳）,1,设计类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31408&keywords=&tid=0&lid=0,22989-腾讯云web前端开发工程师（成都）,1,技术类,2017-08-30,成都
http://hr.tencent.com/position_detail.php?id=31283&keywords=&tid=0&lid=0,22989-腾讯云后台研发工程师（深圳）,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31289&keywords=&tid=0&lid=0,MIG18-众创空间AI项目高级产品经理（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31296&keywords=&tid=0&lid=0,17759-会员商务合作专员（北京）,1,内容编辑类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=31304&keywords=&tid=0&lid=0,HY1-游戏研究员（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31314&keywords=&tid=0&lid=0,MIG06-大数据高级后台研发工程师（深圳）,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31258&keywords=&tid=0&lid=0,22090-天天快报-UGC产品运营（北京）,1,产品/项目类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=31269&keywords=&tid=0&lid=0,18796-WeGame平台社区运营（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31280&keywords=&tid=0&lid=0,18427-理财通产品策划经理（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31281&keywords=&tid=0&lid=0,MIG07-腾爱医疗运营开发工程师（深圳）,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31282&keywords=&tid=0&lid=0,22989-企业云后台开发工程师（深圳）,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31287&keywords=&tid=0&lid=0,18402-QQ飞车手游市场推广及外部合作接口人,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31253&keywords=&tid=0&lid=0,18796-WeGame Video IOS移动客户端开发（深圳）,2,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=31257&keywords=&tid=0&lid=0,22090-天天快报-数据产品经理（北京）,1,产品/项目类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=31260&keywords=&tid=0&lid=0,22090-天天快报-产品运营（北京）,1,产品/项目类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=31230&keywords=&tid=0&lid=0,15665-平台合作运营（深圳）,2,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30737&keywords=&tid=0&lid=0,FWZ-诉讼律师,1,职能类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=30829&keywords=&tid=0&lid=0,TEG05-高级图像视频分析算法工程师(北京）,1,技术类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=30725&keywords=&tid=0&lid=0,21062-游戏高级交互设计师（深圳）,2,设计类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30727&keywords=&tid=0&lid=0,18796-WeGame平台高级产品经理（深圳）,3,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30728&keywords=&tid=0&lid=0,18796-WeGame平台高级产品运营(深圳),3,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30729&keywords=&tid=0&lid=0,18796-WeGame高级商业分析经理（上海）,1,市场类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=30731&keywords=&tid=0&lid=0,19867-棋牌游戏策划（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30733&keywords=&tid=0&lid=0,15614-项目经理（上海）,1,产品/项目类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=30722&keywords=&tid=0&lid=0,18425-金融风控组长,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30717&keywords=&tid=0&lid=0,SNG07-企点系统测试工程师（上海）,1,技术类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=30719&keywords=&tid=0&lid=0,FWZ-法律顾问,2,职能类,2017-08-30,深圳
